error_id,code,cleaned_error_message,error_category,compiler_phase,error_type_general,violated_rule,full_context_window,input_sequence,target_explanation
1,int main(){ int x = 10 return 0; },expected ';' before 'return',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int x = 10 return 0; },[ERROR] expected ';' before 'return' [LINE] int main(){ int x = 10 return 0; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
2,"int main(){ printf(""Hello"") return 0; }",expected ';' before 'return',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ printf(""Hello"") return 0; }","[ERROR] expected ';' before 'return' [LINE] int main(){ printf(""Hello"") return 0; } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
3,int main( { return 0; },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main( { return 0; },[ERROR] expected ')' before '{' [LINE] int main( { return 0; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
4,int main(){ if(1 { return 0; } },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ if(1 { return 0; } },[ERROR] expected ')' before '{' [LINE] int main(){ if(1 { return 0; } } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
5,int main(){ int x = 10;,expected '}' at end of input,missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int x = 10;,[ERROR] expected '}' at end of input [LINE] int main(){ int x = 10; [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
6,int main(){ for(int i=0;i<5;i++ { } },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ for(int i=0;i<5;i++ { } },[ERROR] expected ')' before '{' [LINE] int main(){ for(int i=0;i<5;i++ { } } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
7,int main(){ while(1 { } },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ while(1 { } },[ERROR] expected ')' before '{' [LINE] int main(){ while(1 { } } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
8,int main(){ int x = (5 + 3; },expected ')' before ';',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int x = (5 + 3; },[ERROR] expected ')' before ';' [LINE] int main(){ int x = (5 + 3; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
9,"int main(){ printf(""Hi""; }",expected ')' before ';',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ printf(""Hi""; }","[ERROR] expected ')' before ';' [LINE] int main(){ printf(""Hi""; } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
10,"int main(){ if(1) printf(""ok"") }",expected ';' before '}',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ if(1) printf(""ok"") }","[ERROR] expected ';' before '}' [LINE] int main(){ if(1) printf(""ok"") } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
11,int main(){ int a = 5 int b = 6; },expected ';' before 'int',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int a = 5 int b = 6; },[ERROR] expected ';' before 'int' [LINE] int main(){ int a = 5 int b = 6; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
12,int main(){ return 0 },expected ';' before '}',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ return 0 },[ERROR] expected ';' before '}' [LINE] int main(){ return 0 } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
13,"int main(){ int x[5 = {1,2,3}; }",expected ']' before '=',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ int x[5 = {1,2,3}; }","[ERROR] expected ']' before '=' [LINE] int main(){ int x[5 = {1,2,3}; } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
14,"int main(){ int x = ""hello""; }",invalid conversion from 'const char*' to 'int',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ int x = ""hello""; }","[ERROR] invalid conversion from 'const char*' to 'int' [LINE] int main(){ int x = ""hello""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
15,"int main(){ float f = ""text""; }",cannot convert 'const char*' to 'float',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ float f = ""text""; }","[ERROR] cannot convert 'const char*' to 'float' [LINE] int main(){ float f = ""text""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
16,int main(){ int x; x = 3.5; },assignment from 'double' to 'int',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int x; x = 3.5; },[ERROR] assignment from 'double' to 'int' [LINE] int main(){ int x; x = 3.5; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
17,int main(){ char c = 1000; },overflow in conversion to 'char',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ char c = 1000; },[ERROR] overflow in conversion to 'char' [LINE] int main(){ char c = 1000; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
18,int main(){ int *p = 5; },invalid conversion from 'int' to 'int*',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int *p = 5; },[ERROR] invalid conversion from 'int' to 'int*' [LINE] int main(){ int *p = 5; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
19,"int main(){ double d = ""abc""; }",cannot convert 'const char*' to 'double',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ double d = ""abc""; }","[ERROR] cannot convert 'const char*' to 'double' [LINE] int main(){ double d = ""abc""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
20,"int main(){ int a = 5; a = ""hi""; }",invalid conversion from 'const char*' to 'int',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ int a = 5; a = ""hi""; }","[ERROR] invalid conversion from 'const char*' to 'int' [LINE] int main(){ int a = 5; a = ""hi""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
21,int main(){ char *c = 10; },invalid conversion from 'int' to 'char*',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ char *c = 10; },[ERROR] invalid conversion from 'int' to 'char*' [LINE] int main(){ char *c = 10; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
22,"int main(){ int x = 2.7 + ""hi""; }",invalid operands to binary expression,type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ int x = 2.7 + ""hi""; }","[ERROR] invalid operands to binary expression [LINE] int main(){ int x = 2.7 + ""hi""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
23,int main(){ int x; x = &x; },invalid conversion from 'int*' to 'int',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int x; x = &x; },[ERROR] invalid conversion from 'int*' to 'int' [LINE] int main(){ int x; x = &x; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
24,"int main(){ int x = ""5"" + 2; }",invalid operands to binary expression,type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ int x = ""5"" + 2; }","[ERROR] invalid operands to binary expression [LINE] int main(){ int x = ""5"" + 2; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
25,int main(){ int *p; p = 3.14; },invalid conversion from 'double' to 'int*',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int *p; p = 3.14; },[ERROR] invalid conversion from 'double' to 'int*' [LINE] int main(){ int *p; p = 3.14; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
26,int main(){ int a = 'hello'; },multi-character constant,type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int a = 'hello'; },[ERROR] multi-character constant [LINE] int main(){ int a = 'hello'; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
27,int main(){ x = 5; },'x' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ x = 5; },[ERROR] 'x' undeclared [LINE] int main(){ x = 5; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
28,"int main(){ printf(""%d"", y); }",'y' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,"int main(){ printf(""%d"", y); }","[ERROR] 'y' undeclared [LINE] int main(){ printf(""%d"", y); } [CATEGORY] undefined_symbol [PHASE] Semantic","This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
29,int main(){ foo(); },implicit declaration of function 'foo',undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ foo(); },[ERROR] implicit declaration of function 'foo' [LINE] int main(){ foo(); } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
30,int main(){ int a = b + 2; },'b' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ int a = b + 2; },[ERROR] 'b' undeclared [LINE] int main(){ int a = b + 2; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
31,int main(){ return value; },'value' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ return value; },[ERROR] 'value' undeclared [LINE] int main(){ return value; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
32,int main(){ int x = 10; z = x + 1; },'z' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ int x = 10; z = x + 1; },[ERROR] 'z' undeclared [LINE] int main(){ int x = 10; z = x + 1; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
33,"int main(){ printf(""%d"", num); }",'num' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,"int main(){ printf(""%d"", num); }","[ERROR] 'num' undeclared [LINE] int main(){ printf(""%d"", num); } [CATEGORY] undefined_symbol [PHASE] Semantic","This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
34,int main(){ result = 5 + 2; },'result' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ result = 5 + 2; },[ERROR] 'result' undeclared [LINE] int main(){ result = 5 + 2; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
35,int main(){ int x; y = x; },'y' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ int x; y = x; },[ERROR] 'y' undeclared [LINE] int main(){ int x; y = x; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
36,int main(){ callFunc(); },implicit declaration of function 'callfunc',undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ callFunc(); },[ERROR] implicit declaration of function 'callfunc' [LINE] int main(){ callFunc(); } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
37,int main(){ int a = 5; b = a; },'b' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,int main(){ int a = 5; b = a; },[ERROR] 'b' undeclared [LINE] int main(){ int a = 5; b = a; } [CATEGORY] undefined_symbol [PHASE] Semantic,"This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
38,"int main(){ total = sum(1, 2); }",'total' undeclared,undefined_symbol,Semantic,Semantic,identifier used before declaration or definition,"int main(){ total = sum(1, 2); }","[ERROR] 'total' undeclared [LINE] int main(){ total = sum(1, 2); } [CATEGORY] undefined_symbol [PHASE] Semantic","This error indicates that an identifier is used before it has been declared or defined. In C, every variable and function must be declared before use. Without a declaration, the compiler cannot determine its meaning."
39,int main(){ if(1){ int x = 5; } x = 10; },'x' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ if(1){ int x = 5; } x = 10; },[ERROR] 'x' undeclared [LINE] int main(){ if(1){ int x = 5; } x = 10; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
40,int main(){ for(int i=0;i<5;i++){} i=10; },'i' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ for(int i=0;i<5;i++){} i=10; },[ERROR] 'i' undeclared [LINE] int main(){ for(int i=0;i<5;i++){} i=10; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
41,"int main(){ { int y = 2; } printf(""%d"", y); }",'y' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,"int main(){ { int y = 2; } printf(""%d"", y); }","[ERROR] 'y' undeclared [LINE] int main(){ { int y = 2; } printf(""%d"", y); } [CATEGORY] scope_error [PHASE] Semantic","This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
42,int main(){ if(1){ int a=3; } return a; },'a' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ if(1){ int a=3; } return a; },[ERROR] 'a' undeclared [LINE] int main(){ if(1){ int a=3; } return a; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
43,int main(){ { int z=1; } z++; },'z' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ { int z=1; } z++; },[ERROR] 'z' undeclared [LINE] int main(){ { int z=1; } z++; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
44,"int main(){ for(int i=0;i<3;i++){ } printf(""%d"", i); }",'i' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,"int main(){ for(int i=0;i<3;i++){ } printf(""%d"", i); }","[ERROR] 'i' undeclared [LINE] int main(){ for(int i=0;i<3;i++){ } printf(""%d"", i); } [CATEGORY] scope_error [PHASE] Semantic","This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
45,int main(){ if(1){ int k=7; } k = 9; },'k' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ if(1){ int k=7; } k = 9; },[ERROR] 'k' undeclared [LINE] int main(){ if(1){ int k=7; } k = 9; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
46,int main(){ { int m=4; } int n = m; },'m' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ { int m=4; } int n = m; },[ERROR] 'm' undeclared [LINE] int main(){ { int m=4; } int n = m; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
47,int main(){ while(1){ int t=0; break; } t++; },'t' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ while(1){ int t=0; break; } t++; },[ERROR] 't' undeclared [LINE] int main(){ while(1){ int t=0; break; } t++; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
48,"int main(){ { int p=3; } printf(""%d"", p); }",'p' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,"int main(){ { int p=3; } printf(""%d"", p); }","[ERROR] 'p' undeclared [LINE] int main(){ { int p=3; } printf(""%d"", p); } [CATEGORY] scope_error [PHASE] Semantic","This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
49,int main(){ if(1){ int r=5; } r=r+1; },'r' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ if(1){ int r=5; } r=r+1; },[ERROR] 'r' undeclared [LINE] int main(){ if(1){ int r=5; } r=r+1; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
50,int main(){ for(int j=0;j<2;j++){ } j++; },'j' undeclared,scope_error,Semantic,Semantic,variable used outside its declared scope,int main(){ for(int j=0;j<2;j++){ } j++; },[ERROR] 'j' undeclared [LINE] int main(){ for(int j=0;j<2;j++){ } j++; } [CATEGORY] scope_error [PHASE] Semantic,"This error occurs because a variable is used outside the block in which it was declared. In C, variables declared inside a block are only accessible within that block. Using them outside their scope results in an error."
